time,blink_count,ear,fatigue_score,stress_score
2026-03-15 22:17:06,21,0.198,100,8
2026-03-15 22:17:06,21,0.201,100,8
2026-03-15 22:17:06,21,0.2,100,9
2026-03-15 22:17:06,21,0.208,100,9
2026-03-15 22:17:06,21,0.169,100,9
2026-03-15 22:17:06,21,0.167,100,9
2026-03-15 22:17:06,21,0.158,100,9
2026-03-15 22:17:06,21,0.159,100,9
2026-03-15 22:17:06,21,0.184,100,9
2026-03-15 22:17:06,21,0.207,100,9
2026-03-15 22:17:06,21,0.198,100,9
2026-03-15 22:17:06,21,0.202,100,9
2026-03-15 22:17:06,21,0.194,100,10
2026-03-15 22:17:07,21,0.213,100,10
2026-03-15 22:17:07,21,0.204,100,10
2026-03-15 22:17:07,21,0.222,100,10
2026-03-15 22:17:07,21,0.206,100,10
2026-03-15 22:17:07,21,0.22,100,10
2026-03-15 22:17:07,21,0.185,100,10
2026-03-15 22:17:07,21,0.185,100,10
2026-03-15 22:17:07,21,0.191,100,11
2026-03-15 22:17:07,21,0.185,100,11
2026-03-15 22:17:07,21,0.185,100,11
2026-03-15 22:17:07,21,0.188,100,11
2026-03-15 22:17:07,21,0.183,100,11
2026-03-15 22:17:07,21,0.18,100,11
2026-03-15 22:17:07,21,0.178,100,11
2026-03-15 22:17:07,21,0.179,100,11
2026-03-15 22:17:07,21,0.185,100,11
2026-03-15 22:17:07,21,0.188,100,11
2026-03-15 22:17:07,21,0.193,100,12
2026-03-15 22:17:07,21,0.193,100,12
2026-03-15 22:17:07,21,0.186,100,12
2026-03-15 22:17:07,21,0.188,100,12
2026-03-15 22:17:07,21,0.188,100,12
2026-03-15 22:17:07,21,0.188,100,12
2026-03-15 22:17:07,21,0.186,100,12
2026-03-15 22:17:07,21,0.185,100,12
2026-03-15 22:17:07,21,0.187,100,12
2026-03-15 22:17:07,21,0.177,100,12
2026-03-15 22:17:07,21,0.18,100,13
2026-03-15 22:17:07,21,0.183,100,13
2026-03-15 22:17:07,21,0.194,100,13
2026-03-15 22:17:07,21,0.187,100,13
2026-03-15 22:17:08,21,0.168,100,13
2026-03-15 22:17:08,21,0.171,100,13
2026-03-15 22:17:08,21,0.171,100,13
2026-03-15 22:17:08,21,0.171,100,13
2026-03-15 22:17:08,21,0.103,100,13
2026-03-15 22:17:08,21,0.123,100,13
2026-03-15 22:17:08,21,0.116,100,14
2026-03-15 22:17:08,21,0.117,100,14
